role,skills
Data Analyst,python sql excel statistics powerbi pandas visualization
Data Scientist,python numpy pandas sklearn machinelearning statistics matplotlib
Machine Learning Engineer,python numpy pandas sklearn tensorflow pytorch deeplearning
Web Developer,html css javascript react nodejs mongodb
Frontend Developer,html css javascript react bootstrap uiux
Backend Developer,python django flask api database sql
Java Developer,java spring mysql oop hibernate
Android Developer,java kotlin android firebase xml
Software Tester,testing selenium junit manualtesting automation
DevOps Engineer,linux docker kubernetes aws cicd scripting
Cloud Engineer,aws azure gcp networking virtualization linux
Cyber Security Analyst,networking cryptography kali linux penetrationtesting security
Database Administrator,sql mysql oracle database tuning backup
Business Analyst,excel communication documentation sql analytics
AI Engineer,python tensorflow pytorch neuralnetworks deeplearning ai
Full Stack Developer,html css javascript react nodejs mongodb express
Data Engineer,python sql etl spark hadoop datawarehouse
Game Developer,c++ unity unreal engine graphics physics
UI UX Designer,figma wireframe prototyping design usability
System Administrator,linux networking hardware troubleshooting servers
